date|team|acquired|relinquished|notes
2009-09-25|Pacers|Jim O'Brien||team exercised contract option on head coach through 2010-11
2009-09-28|Magic|Stan Van Gundy||re-signed as head coach to a contract extension through 2010-11
2009-11-12|Hornets||Byron Scott|fired as head coach
2009-11-12|Hornets|Jeff Bower||hired as interim head coach (in addition to GM)
2009-11-12|Hornets|Tim Floyd||hired as assistant coach
2009-11-29|Nets||Lawrence Frank|fired as head coach
2009-11-29|Nets|Tom Barrise||promoted to interim head coach
2009-11-30|Nets|Kiki Vandeweghe||hired as head coach (in addition to GM) for the remainder of the season
2009-11-30|Nets|Del Harris||hired as assistant coach
2009-12-02|Jazz|Jerry Sloan||re-signed as head coach to a 1-year contract extension through 2010-11
2010-01-18|Nets|Jim Sann / Jimmy Sann||hired as assistant coach
2010-01-19|Rockets|Rick Adelman||team exercised contract option on head coach for 2010-11
2010-02-02|Nets||Del Harris|resigned as assistant coach
2010-02-04|Clippers||Mike Dunleavy Sr.|resigned as head coach (remained as GM)
2010-02-04|Clippers|Kim Hughes||promoted to interim head coach
2010-02-12|Nuggets|George Karl||re-signed as head coach to a 1-year contract extension through 2010-11
2010-03-31|Hornets||Tim Floyd|resigned as assistant coach
2010-04-12|Kings|Paul Westphal||team exercised contract option on head coach through 2011-12
2010-04-15|76ers||Eddie Jordan|fired as head coach
2010-04-15|Clippers||Kim Hughes|fired as interim head coach
2010-04-15|Grizzlies|Lionel Hollins||re-signed as head coach to a 3-year contract extension
2010-04-20|Hornets||Jeff Bower|resigned as interim head coach (remained as GM)
2010-05-03|Bulls||Vinny Del Negro|fired as head coach
2010-05-03|Thunder|Scott Brooks||team exercised contract option on head coach through 2011-12
2010-05-14|Hawks||Mike Woodson|fired as head coach
2010-05-21|76ers|Doug Collins||hired as head coach, signed to a 4-year contract
2010-05-24|Cavaliers||Mike Brown (c)|fired as head coach
2010-06-02|Raptors|P.J. Carlesimo||hired as assistant coach
2010-06-07|Celtics||Tom Thibodeau|resigned as assistant coach (date approximate)
2010-06-07|Hornets|Monty Williams||hired as head coach
2010-06-08|Bulls|Tom Thibodeau||hired as head coach, signed to a 3-year, $10M contract
2010-06-10|Nets|Avery Johnson||hired as head coach, signed to a 3-year contract
2010-06-13|Hawks|Larry Drew I||promoted to head coach
2010-06-25|Suns|Alvin Gentry||team exercised contract option on head coach through 2011-12
2010-06-25|Suns|Dan Majerle||re-signed as assistant coach through 2011-12
2010-06-25|Suns|Bill Cartwright||re-signed as assistant coach through 2011-12
2010-06-25|Suns|Igor Stefan Kokoskov / Igor Kokoskov||re-signed as assistant coach through 2011-12
2010-06-29|Suns|Noel Gillespie||promoted to assistant coach-advance scout
2010-06-30|Hornets|James Borrego||hired as assistant coach
2010-06-30|Hornets|Bryan Gates||hired as assistant coach
2010-06-30|Hornets|Michael Malone / Mike Malone||hired as assistant coach
2010-06-30|Pacers||Dick Harter|fired/resigned? as assistant coach
2010-06-30|Pacers||Lester Conner|fired/resigned? as assistant coach
2010-06-30|Pacers|Vitaly Potapenko||hired as assistant coach
2010-06-30|Pacers|Walter McCarty||hired as assistant coach (date approximate)
2010-07-01|76ers|Brian James||hired as assistant coach
2010-07-01|76ers|Michael Curry||hired as associate head coach
2010-07-01|76ers|Quin Snyder||hired as assistant coach
2010-07-02|Cavaliers|Byron Scott||hired as head coach, signed to a reported 4-year contract
2010-07-06|Clippers|Vinny Del Negro||hired as head coach
2010-07-08|Hawks|Greg Ballard||hired as assistant coach
2010-07-08|Hawks|Lester Conner||hired as assistant coach
2010-07-08|Hawks|Tyrone Hill||hired as assistant coach
2010-07-08|Hawks|Bob Bender||hired as assistant coach
2010-07-19|Nets|John Loyer||re-signed as assistant coach
2010-07-19|Nets|Larry Krystkowiak||hired as assistant coach
2010-07-19|Nets|Tom Barrise||hired as assistant coach
2010-07-19|Nets|Ronald Jones / Popeye Jones||hired as assistant coach
2010-07-19|Nets|Sam Mitchell||hired as assistant coach
2010-07-26|Blazers|Bob Ociepka||hired as assistant coach
2010-07-26|Blazers|Bernie Bickerstaff||hired as assistant coach
2010-07-26|Blazers|Buck Williams||hired as assistant coach
2010-07-28|Hawks|Kenny Gattison||hired as assistant coach
2010-07-28|Magic|Stan Van Gundy||team exercised contract option on head coach through 2012-13
2010-07-29|Cavaliers|Chris Jent||hired as assistant coach
2010-07-29|Cavaliers|Jamahl Mosley||hired as assistant coach
2010-07-29|Cavaliers|Joe Prunty||hired as assistant coach
2010-07-29|Cavaliers|Paul Pressey||hired as assistant coach
2010-07-29|Kings|Otis Hughley||hired as assistant coach
2010-08-02|Lakers|Frank Hamblen||re-signed as assistant coach
2010-08-02|Lakers|Brian Shaw||re-signed as assistant coach
2010-08-02|Lakers|Chuck Person||hired as assistant coach
2010-08-02|Lakers|Jim Cleamons||re-signed as assistant coach
2010-08-02|Lakers|Phil Jackson||re-signed as head coach
2010-08-04|Hornets|Fred Vinson||hired as assistant coach
2010-08-12|Clippers|Dean Demopoulos||hired as assistant coach
2010-08-12|Clippers|Marc Iavaroni||hired as assistant coach
2010-08-12|Clippers|Robert Pack||hired as assistant coach
2010-08-16|Rockets|Scott Roth||hired as assistant coach
2010-08-31|Hornets|Carlos Daniel||hired as strength coach
2010-09-08|Bulls|Adrian Griffin||hired as assistant coach
2010-09-08|Hawks|Nick Van Exel||hired as assistant coach
2010-09-09|Bulls|Andy Greer||hired as assistant coach
2010-09-09|Bulls|Rick Brunson||hired as assistant coach
2010-09-09|Bulls|Ron Adams||hired as assistant coach
2010-09-13|Bulls|Ed Pinckney||hired as assistant coach
2010-09-14|Nets|Doug Overton||hired as player development coach
2010-09-23|Suns|Alvin Gentry||re-signed as head coach to a 1-year contract extension through 2012-13
2010-09-24|Cavaliers|Derek Millender||hired as assistant strength and conditioning coach
2010-09-24|Spurs|Jacque Vaughn||hired as assistant coach
2010-09-27|Bucks|Anthony Goldwire||hired as assistant coach
2010-09-27|Warriors||Don Nelson|fired as head coach
2010-09-27|Warriors|Calbert Cheaney||promoted to assistant coach
2010-09-27|Warriors|Jerry Sichting||hired as assistant coach
2010-09-27|Warriors|Keith Smart||promoted to head coach
2010-09-27|Warriors|Robert Werdann / Rob Werdann||hired as assistant coach
2010-10-04|Nuggets|Melvin Hunt||hired as assistant coach
2010-10-26|Bucks|Scott Skiles||re-signed as head coach to a contract extension through 2012-13
2010-12-22|Bobcats||Larry Brown|resigned as head coach
2010-12-22|Bobcats|Paul Silas||hired as interim head coach
2010-12-24|Warriors|Lloyd Pierce||hired as assistant coach
2010-12-24|Warriors||Stephen Silas|resigned as assistant coach
2010-12-24|Bobcats|Stephen Silas||hired as assistant coach
2010-12-26|Bobcats|Charles Oakley||hired as assistant coach
2010-12-26|Bobcats|Ralph Lewis||hired as assistant coach
2011-01-30|Pacers||Jim O'Brien|fired as head coach
2011-01-30|Pacers|Frank Vogel||promoted to interim head coach
2011-02-07|Jazz|Jerry Sloan||re-signed as head coach to a 1-year contract extension through 2011-12
2011-02-09|Jazz||Jerry Sloan|resigned as head coach
2011-02-09|Jazz||Phil Johnson|resigned as assistant coach
2011-02-09|Jazz|Tyrone Corbin||promoted to head coach
2011-02-14|Jazz|Jeff Hornacek||hired as assistant coach
2011-02-15|Bobcats|Paul Silas||promoted to head coach, signed to a 1-year contract extension through 2011-12
2011-03-02|Jazz|Tyrone Corbin||re-signed as head coach to a multi-year contract
2011-03-08|Blazers|Nate McMillan||re-signed as head coach to a 2-year contract extension
2011-03-08|Nuggets|George Karl||re-signed as head coach to a 3-year contract extension
2011-04-18|Rockets||Rick Adelman|fired as head coach
2011-04-27|Warriors||Keith Smart|fired as head coach
2011-05-13|Celtics|Glenn Rivers / Doc Rivers||re-signed as head coach to a 5-year, $35M contract extension
2011-05-25|Lakers|Mike Brown (c)||hired as head coach, signed to a 4-year, $18M contract
2011-06-01|Rockets|Kevin McHale||hired as head coach
2011-06-01|Raptors||Jay Triano|team declined to exercise contract option on head coach for 2011-12 (remained as special assistant to the president and GM)
2011-06-05|Pistons||John Kuester|fired as head coach
2011-06-06|Warriors|Mark Jackson||hired as head coach
2011-06-07|Hornets||Michael Malone / Mike Malone|resigned as assistant coach
2011-06-07|Warriors|Michael Malone / Mike Malone||hired as assistant coach
2011-06-10|Spurs||Mike Brungardt|retired as strength and conditioning coach
2011-06-11|Hornets|Randy Ayers||promoted to lead assistant coach
2011-06-21|Raptors|Dwane Casey||hired as head coach
2011-06-26|Bobcats|Robert Werdann / Rob Werdann||hired as assistant coach
2011-06-29|Lakers|John Kuester||hired as assistant coach
2011-07-01|Lakers|Chuck Person||hired as assistant coach
2011-07-01|Lakers|Quin Snyder||hired as assistant coach
2011-07-05|Pacers|Frank Vogel||promoted to head coach
2011-07-12|Timberwolves||Kurt Rambis|fired as head coach
2011-07-13|Pacers|Dan Burke||re-signed as assistant coach
2011-07-13|Lakers||Brian Shaw|resigned as assistant coach (date approximate)
2011-07-13|Pacers|Brian Shaw||hired as assistant head coach
2011-07-14|Suns|Elston Turner||hired as assistant coach / defensive specialist
2011-07-15|Rockets|Brett Gunning||hired as assistant coach
2011-07-15|Rockets|Chris Finch||hired as assistant coach
2011-07-15|Rockets|John-Blair Bickerstaff / J.B. Bickerstaff||hired as assistant coach
2011-07-15|Rockets|Kelvin Sampson||hired as assistant coach
2011-07-18|Pacers|Jim Boylen||hired as assistant coach
2011-07-28|Bucks|Sidney Moncrief||hired as assistant coach
2011-07-29|Rockets|Greg Buckner||hired as player development coach
2011-08-02|Hornets|Dave Hanners||hired as assistant coach
2011-08-03|Celtics|Mike Longabardi||promoted to bench assistant coach
2011-08-03|Pistons|Lawrence Frank||hired as head coach, signed to a 3-year contract with a 1-year team option
2011-08-04|Warriors|Darren Erman||hired as assistant coach / player development
2011-08-04|Warriors|Jerry DeGregorio||hired as assistant coach
2011-08-04|Warriors|Wes Unseld Jr.||hired as assistant coach
2011-08-04|Warriors|Kris Weems||hired as assistant coach / player development
2011-08-04|Warriors|Pete Myers||hired as assistant coach
2011-08-29|Knicks|Mike Woodson||hired as assistant coach
2011-09-13|Timberwolves|Rick Adelman||hired as head coach
2011-10-06|Jazz|Sidney Lowe||hired as assistant coach
2011-11-15|76ers|Jeff Capel||hired as assistant coach
2011-11-15|Kings|Bobby Jackson||hired as assistant coach
2011-11-15|Kings|Keith Smart||hired as assistant coach
2011-12-01|Bobcats||Charles Oakley|fired as assistant coach
2011-12-05|Cavaliers|Aubrey McCreary||hired as player development assistant/video coach
2011-12-05|Cavaliers|Nate Tibbetts||hired as assistant coach
2011-12-05|Grizzlies|Bob Thornton||hired as assistant coach
2011-12-06|Blazers|Andy Greer||hired as assistant coach
2011-12-06|Nets|Mario Elie||hired as assistant coach
2011-12-06|Nets|P.J. Carlesimo||hired as assistant coach
2011-12-06|Timberwolves|Bill Bayno||hired as assistant coach
2011-12-06|Timberwolves|Jack Sikma||hired as assistant coach
2011-12-06|Timberwolves|T.R. Dunn||hired as assistant coach
2011-12-06|Timberwolves|Terry Porter (b)||hired as assistant coach
2011-12-07|Blazers|Bob Ociepka||re-signed as assistant coach
2011-12-07|Blazers|Bernie Bickerstaff||re-signed as assistant coach
2011-12-07|Blazers|Buck Williams||re-signed as assistant coach
2011-12-07|Blazers|Kaleb Canales||hired as assistant coach
2011-12-07|Blazers|Larry Greer||promoted to assistant coach
2011-12-07|Timberwolves|David Adelman||hired as player development coach
2011-12-08|Jazz|Michael Sanders||hired as player development coach
2011-12-08|Nets|Jeremy Bettle||hired as strength and conditioning coach
2011-12-16|Heat|Erik Spoelstra||re-signed as head coach to a contract extension
2012-01-05|Kings||Paul Westphal|fired as head coach
2012-01-05|Kings|Keith Smart||promoted to interim head coach
2012-01-13|Kings|Alex English||hired as assistant coach
2012-01-24|Wizards||Phil Saunders / Flip Saunders|fired as head coach
2012-01-24|Wizards|Randy Wittman||promoted to head coach for the remainder of the season
2012-02-15|Clippers||Howard Eisley|fined as assistant coach $15K for verbally abusing referee during game
2012-03-04|Kings|Keith Smart||re-signed as head coach to a contract extension through 2012-13
2012-03-13|Knicks||Mike D'Antoni|resigned as head coach
2012-03-13|Knicks|Mike Woodson||promoted to interim head coach
2012-03-15|Blazers||Nate McMillan|fired as head coach
2012-03-15|Blazers|Kaleb Canales||promoted to interim head coach
2012-03-17|Knicks||Dan D'Antoni|fired as assistant coach
2012-03-17|Knicks||Phil Weber|fired as assistant coach
2012-03-17|Knicks|Jim Todd||hired as assistant coach
2012-03-17|Knicks|Darrell Walker||hired as assistant coach
2012-04-27|Raptors|Dwane Casey||team exercised contract option on head coach through 2013-14
2012-04-30|Bobcats||Paul Silas|fired as head coach
2012-05-15|Mavericks|Rick Carlisle||re-signed as head coach to a 4-year contract
2012-05-18|Hawks|Larry Drew I||team exercised contract option on head coach through 2012-13
2012-05-21|Magic||Stan Van Gundy|fired as head coach
2012-05-25|Knicks|Mike Woodson||promoted to head coach, re-signed to a multi-year contract extension
2012-05-29|Clippers|Vinny Del Negro||team exercised contract option on head coach
2012-06-04|Wizards|Randy Wittman||re-signed as head coach
2012-06-20|Bobcats|Mike Dunlap||hired as head coach
2012-07-01|Magic|Anthony Harvey||hired as assistant strength and conditioning coach (date approximate)
2012-07-02|Thunder|Scott Brooks||re-signed as head coach to a reported 4-year, $12M contract
2012-07-09|Wizards|Don Newman||hired as assistant coach
2012-07-27|Clippers|Bob Ociepka||hired as assistant coach
2012-07-28|Magic|Jacque Vaughn||hired as head coach
2012-08-06|Kings|Keith Smart||re-signed as head coach to a 1-year contract extension through 2013-14
2012-08-07|Blazers|Kaleb Canales||demoted to assistant coach
2012-08-07|Blazers|Terry Stotts||hired as head coach
2012-08-09|Wizards|Jerry Sichting||hired as assistant coach
2012-08-17|Blazers|David Vanterpool||hired as assistant coach
2012-08-17|Blazers|Jay Triano||hired as assistant coach
2012-08-17|Blazers|Kim Hughes||hired as assistant coach
2012-08-18|Hornets|Monty Williams||re-signed as head coach to a 4-year contract extension
2012-08-27|Bobcats|Brian Winters||hired as assistant coach
2012-08-27|Bobcats|Dan Leibovitz||hired as assistant coach
2012-08-28|Hawks|Bob Weiss||hired as assistant coach-consultant
2012-08-28|Hawks|Kenny Atkinson||hired as assistant coach for player development
2012-08-28|Spurs|Ime Udoka||hired as assistant coach
2012-08-29|Blazers|Dale Osborne||hired as assistant coach
2012-08-29|Blazers|Dale Osbourne||hired as assistant coach
2012-08-30|Blazers|Dale Osbourne||hired as assistant coach
2012-08-30|Magic|Brett Gunning||hired as assistant coach
2012-08-30|Magic|James Borrego||hired as assistant coach
2012-08-30|Magic|Luke Stuckey||hired as assistant coach for player development
2012-08-30|Magic|Wes Unseld Jr.||hired as assistant coach
2012-08-30|Magic|Gordon Chiesa||hired as special consultant to the head coach
2012-08-30|Magic|Laron Profit||hired as assistant coach for player development
2012-09-07|Lakers|Bernie Bickerstaff||hired as assistant coach
2012-09-07|Lakers|Eddie Jordan||hired as assistant coach
2012-09-07|Lakers|Steve Clifford||hired as assistant coach
2012-09-11|Warriors|Darren Erman||promoted to assistant coach
2012-09-11|Warriors|Bob Beyer||hired as assistant coach
2012-10-01|76ers|Doug Collins||team exercised contract option on head coach through 2013-14
2012-10-01|Bulls|Tom Thibodeau||re-signed as head coach to a 4-year, $17.5M contract extension through 2016-17
2012-10-24|Cavaliers|Byron Scott||team exercised contract option on head coach through 2013-14
2012-10-30|Jazz|Tyrone Corbin||team exercised contract option on head coach through 2013-14
2012-11-09|Lakers||Mike Brown (c)|fired as head coach
2012-11-09|Lakers|Bernie Bickerstaff||promoted to interim head coach
2012-11-10|Rockets|Kelvin Sampson||promoted to interim head coach
2012-11-12|Lakers|Mike D'Antoni||hired as head coach, signed to a reported 3-year, $12M contract with a 1-year team option
2012-11-18|Lakers|Dan D'Antoni||hired as assistant coach
2012-12-27|Nets||Avery Johnson|fired as head coach
2012-12-27|Nets|P.J. Carlesimo||promoted to interim head coach
2013-01-07|Pacers|Frank Vogel||re-signed as head coach to a contract extension
2013-01-08|Bucks||Scott Skiles|fired/resigned as head coach
2013-01-08|Bucks|Jim Boylan||promoted to interim head coach for the remainder of the season
2013-01-18|Suns||Alvin Gentry|fired as head coach
2013-01-20|Suns|Lindsey Hunter||promoted to interim head coach for the remainder of the season
2013-04-18|76ers||Doug Collins|resigned as head coach (remained as advisor)
2013-04-18|Cavaliers||Byron Scott|fired as head coach
2013-04-18|Pistons||Lawrence Frank|fired as head coach
2013-04-23|Bobcats||Mike Dunlap|fired as head coach
2013-04-24|Cavaliers|Mike Brown (c)||hired as head coach, signed to a reported 4-year, $20M contract with a 1-year team option
2013-05-01|Bucks||Jim Boylan|fired as head coach
2013-05-03|Mavericks||Jim O'Brien|retired as assistant coach
2013-05-03|Mavericks|Kaleb Canales||hired as assistant coach
2013-05-05|Nets||P.J. Carlesimo|fired as head coach
2013-05-13|Grizzlies||Barry Hecker|left team as assistant coach
2013-05-14|Blazers|Nate Tibbits||hired as assistant coach
2013-05-21|Clippers||Vinny Del Negro|fired as head coach
2013-05-26|Suns|Jeff Hornacek||hired as head coach
2013-05-27|Bobcats|Steve Clifford||hired as head coach
2013-05-28|Hawks||Larry Drew I|fired as head coach
2013-05-28|Hawks|Mike Budenholzer||hired as head coach
2013-05-30|Kings||Keith Smart|fired as head coach
2013-05-31|Bucks|Larry Drew I||hired as head coach, signed to a 4-year, $10M contract
2013-05-31|Warriors||Michael Malone / Mike Malone|resigned as assistant coach (date approximate)
2013-05-31|Kings|Michael Malone / Mike Malone||hired as head coach
2013-06-06|Kings||Jim Eyen|fired as assistant coach
2013-06-06|Kings||Alex English|fired as assistant coach
2013-06-06|Kings||Bobby Jackson|fired as assistant coach (reassigned to different position within organization)
2013-06-06|Kings||Clifford Ray|fired as assistant coach
2013-06-06|Nuggets||George Karl|fired as head coach
2013-06-10|Grizzlies||Lionel Hollins|fired as head coach
2013-06-10|Hawks|Quin Snyder||hired as assistant coach
2013-06-10|Kings|Chris Jent||hired as assistant coach
2013-06-10|Kings|Brendan Malone||hired as assistant coach
2013-06-10|Pistons|Maurice Cheeks||hired as head coach
2013-06-12|Nets|Jason Kidd||hired as head coach
2013-06-15|Hawks|Darvin Ham||hired as assistant coach
2013-06-17|Bucks|Bob Bender||hired as assistant coach
2013-06-17|Bucks|Nick Van Exel||hired as assistant coach
2013-06-24|Pacers||Brian Shaw|resigned as assistant head coach (date approximate)
2013-06-25|Grizzlies|Dave Joerger||promoted to head coach
2013-06-25|Nuggets|Brian Shaw||hired as head coach
2013-06-25|Suns|Jerry Sichting||hired as assistant coach
2013-06-25|Suns|Kenny Gattison||hired as assistant coach
2013-06-25|Suns|Mark West (a)||hired as assistant coach
2013-06-25|Suns|Mike Longabardi||hired as assistant coach
2013-06-25|Celtics||Glenn Rivers / Doc Rivers|team released head coach from contract
2013-06-25|Clippers|Glenn Rivers / Doc Rivers||hired as head coach and senior VP of basketball operations
2013-06-25|Clippers||2015 first round pick (#28-R.J. Hunter)|sent to Celtics as compensation for head coach Glenn Rivers / Doc Rivers
2013-06-25|Celtics|2015 first round pick (#28-R.J. Hunter)||received from Clippers as compensation for head coach Glenn Rivers / Doc Rivers
2013-06-27|Pacers||Jim Boylen|fired as assistant coach
2013-06-28|Cavaliers|Jamahl Mosley||re-signed as assistant coach
2013-06-28|Cavaliers|Phil Handy||hired as assistant coach
2013-06-28|Cavaliers|Vitaly Potapenko||hired as assistant coach
2013-06-28|Cavaliers|Bernie Bickerstaff||hired as assistant coach
2013-06-28|Cavaliers|Bret Brielmaier||hired as assistant coach
2013-06-28|Cavaliers|Igor Stefan Kokoskov / Igor Kokoskov||hired as assistant coach
2013-06-28|Cavaliers|Jim Boylan||hired as assistant coach
2013-06-28|Nets|Doug Overton||hired as assistant coach
2013-06-28|Nets|Eric Hughes||hired as assistant coach
2013-06-28|Nets|Lawrence Frank||hired as assistant coach
2013-06-28|Nets|Roy Rogers||hired as assistant coach
2013-06-28|Spurs|Jim Boylen||hired as assistant coach
2013-06-29|Bulls||Ron Adams|fired as assistant coach
2013-07-01|Bobcats|Bob Weiss||hired as assistant coach
2013-07-01|Bobcats|Patrick Ewing Sr.||hired as assistant coach
2013-07-01|Bobcats|Bob Beyer||hired as assistant coach
2013-07-01|Bobcats|Mark Price||hired as assistant coach
2013-07-01|Pacers|Nate McMillan||hired as assistant coach
2013-07-03|Celtics|Brad Stevens||hired as head coach, signed to a reported 6-year, $22M contract
2013-07-08|Clippers|Alvin Gentry||hired as associate head coach
2013-07-08|Clippers|Armond Hill||hired as assistant coach
2013-07-08|Clippers|Kevin Eastman||hired as assistant coach
2013-07-08|Clippers|Tyronn Lue||hired as assistant coach
2013-07-08|Kings|Micah Nori||hired as assistant coach
2013-07-08|Kings|Dee Brown||hired as assistant coach and director of player development
2013-07-10|Warriors|Mark Jackson||team exercised contract option on head coach through 2014-15
2013-07-12|Warriors|Brian Scalabrine||hired as assistant coach
2013-07-12|Warriors|Joe Boylan||promoted to assistant coach / player development
2013-07-19|Jazz|Brad Jones||promoted to assistant coach
2013-07-25|Raptors|Jama Mahlalela||promoted to assistant coach
2013-07-25|Raptors|Bill Bayno||hired as assistant coach
2013-07-25|Raptors|Jesse Mermuys||hired as assistant coach
2013-07-29|Lakers|Johnny Davis||hired as assistant coach
2013-07-29|Lakers|Kurt Rambis||hired as assistant coach
2013-07-31|Thunder|Mike Terpstra||hired as assistant coach
2013-07-31|Thunder|Robert Pack||hired as assistant coach
2013-08-01|Hawks|Jim Thomas||hired as assistant coach
2013-08-01|Kings|Corliss Williamson||hired as assistant coach
2013-08-14|76ers|Brett Brown||hired as head coach
2013-08-14|Pacers|Ronald Jones / Popeye Jones||hired as assistant coach
2013-08-15|76ers||Jeff Capel|fired as assistant coach
2013-08-15|76ers||Aaron McKie|fired as assistant coach
2013-08-15|76ers||Michael Curry|fired as associate head coach
2013-08-21|Celtics|Jay Larranaga||hired as assistant coach
2013-08-21|Celtics|Micah Shrewsberry||hired as assistant coach
2013-08-21|Celtics|Jamie Young||hired as assistant coach
2013-08-21|Celtics|Ron Adams||hired as assistant coach
2013-08-21|Celtics|Walter McCarty||hired as assistant coach
2013-08-21|Kings|Ryan Bowen||hired as assistant coach and assistant director of player development
2013-08-29|Warriors|Keke Lyles||hired as director of athletic performance / assistant coach
2013-08-29|Warriors|Michael Roncarati / Mike Roncarati||hired as strength and conditioning coach
2013-09-04|Bucks|Josh Oppenheimer||hired as assistant coach/player development
2013-09-04|Bucks|Jim Cleamons||hired as assistant coach
2013-09-04|Bucks|Scott Williams||hired as assistant coach
2013-09-09|Timberwolves|Bobby Jackson||hired as player development coach
2013-09-09|Timberwolves|David Adelman||promoted to assistant coach
2013-09-16|Wizards|Pat Sullivan||promoted to assistant coach
2013-09-17|Bulls|Nick Papendieck||promoted to head strength coach
2013-09-17|Bulls|Matt Johnson||hired as assistant strength coach
2013-09-18|Warriors|Lindsey Hunter||hired as assistant coach
2013-09-19|Spurs|Sean Marks||hired as assistant coach
2013-09-25|Pistons|Bernard Smith||hired as player development coach
2013-09-25|Pistons|Henry Bibby||hired as assistant coach
2013-09-25|Pistons|Maz Trakh||hired as assistant coach
2013-09-25|Pistons|Rasheed Wallace||hired as player development coach
2013-09-28|Heat|Dan Craig||promoted to assistant coach for player development
2013-09-28|Heat|Juwan Howard||hired as assistant coach for player development
2013-09-28|Heat|Rich Fernando||hired as executive assistant to the coaches
2013-09-29|Heat|Erik Spoelstra||re-signed as head coach to a multi-year contract extension
2013-09-30|Knicks|Mike Woodson||team exercised contract option on head coach through 2014-15
2013-10-05|Blazers|Robert Werdann / Rob Werdann||hired as NBADL assistant coach
2013-10-05|Blazers|Zendon Hamilton||hired as NBADL assistant coach
2013-10-23|Kings||Brendan Malone|resigned as assistant coach
2013-11-05|Rockets|Nevada Smith||hired as NBADL coach
2013-11-08|Bobcats|Patrick Ewing Sr.||named interim head coach
2014-02-09|Pistons||Maurice Cheeks|fired as head coach
2014-02-09|Pistons|John Loyer||promoted to interim head coach
2014-04-05|Warriors||Darren Erman|fired as assistant coach
2014-04-21|Jazz||Tyrone Corbin|fired as head coach
2014-04-21|Knicks||Jim Todd|fired as assistant coach
2014-04-21|Knicks||Darrell Walker|fired as assistant coach
2014-04-21|Knicks||Herb Williams|fired as assistant coach
2014-04-21|Knicks||Mike Woodson|fired as head coach
2014-04-21|Timberwolves||Rick Adelman|retired as head coach
2014-04-30|Lakers||Mike D'Antoni|resigned as head coach
2014-05-02|Magic|Jacque Vaughn||team exercised contract option on head coach through 2015-16
2014-05-05|Raptors|Dwane Casey||re-signed as head coach to a 3-year contract extension
2014-05-06|Warriors||Brian Scalabrine|fired as assistant coach
2014-05-06|Warriors||Jerry DeGregorio|fired as assistant coach
2014-05-06|Warriors||Lindsey Hunter|fired as assistant coach
2014-05-06|Warriors||Mark Jackson|fired as head coach
2014-05-06|Warriors||Pete Myers|fired as assistant coach
2014-05-12|Cavaliers||Mike Brown (c)|fired as head coach
2014-05-14|Pistons|Stan Van Gundy||hired as head coach and president of basketball operations, signed to a reported 5-year, $35M contract
2014-05-14|Warriors|Steve Kerr||hired as head coach, signed to a 5-year, reported $25M contract
2014-05-15|Blazers|Terry Stotts||re-signed head coach to a multi-year contract extension
2014-05-27|Grizzlies|Dave Joerger||team exercised contract option on head coach and re-signed to a 1-year contract extension
2014-05-30|Pistons|Charles Klask||hired as assistant coach
2014-05-30|Pistons|Bob Beyer||hired as assistant coach
2014-05-30|Pistons|Brendan Malone||hired as assistant coach
2014-06-03|Wizards|Randy Wittman||re-signed as head coach to a 3-year, $9M contract extension (third year is team option)
2014-06-05|Timberwolves|Phil Saunders / Flip Saunders||hired as head coach (in addition to president of basketball operations)
2014-06-06|Jazz|Quin Snyder||hired as head coach
2014-06-09|Knicks|Derek Fisher||hired as head coach, signed to a reported 5-year, $25M contract
2014-06-13|Timberwolves|Sidney Lowe||hired as assistant coach
2014-06-16|Clippers|Glenn Rivers / Doc Rivers||hired as president of basketball operations (in addition to head coach)
2014-06-17|Hornets|Steve Hetzel||hired as assistant coach
2014-06-17|Timberwolves|Sam Mitchell||hired as assistant coach
2014-06-20|Cavaliers|David Blatt||hired as head coach, signed to a 3-year contract
2014-06-20|Warriors|Alvin Gentry||hired as assistant coach
2014-06-23|Cavaliers|Tyronn Lue||hired as assistant coach
2014-06-23|Warriors|Ron Adams||hired as assistant coach
2014-06-24|Jazz|Alex Jensen||hired as assistant coach
2014-06-24|Jazz|Antonio Lang||hired as assistant coach
2014-06-24|Jazz|Brad Jones||hired as assistant coach
2014-06-24|Jazz|Johnnie Bryant||hired as assistant coach
2014-06-24|Jazz|Mike Wells||hired as assistant coach
2014-06-30|Bucks||Larry Drew I|fired as head coach
2014-06-30|Bucks|||sent to Nets as compensation for head coach Jason Kidd
2014-06-30|Nets|||received from Bucks as compensation for head coach Jason Kidd
2014-07-01|Bucks|Jason Kidd||hired as head coach
2014-07-01|Timberwolves|Ryan Saunders||hired as assistant coach
2014-07-02|Nets|Lionel Hollins||hired as head coach, signed to a reported 4-year, $20M contract (fourth year is team option)
2014-07-03|Warriors|Bruce Fraser||hired as assistant coach
2014-07-03|Warriors|Jarron Collins||hired as assistant coach
2014-07-03|Warriors|Luke Walton||hired as assistant coach
2014-07-07|Knicks|Kurt Rambis||hired as associate head coach
2014-07-08|Kings|Tyrone Corbin||hired as assistant coach (date 07-13 per P)
2014-07-09|Bucks|Joe Prunty||hired as assistant coach
2014-07-09|Hornets|Pat Delany||hired as assistant coach
2014-07-09|Spurs|Gregg Popovich||re-signed as head coach to a multi-year contract extension
2014-07-10|Mavericks|Jamahl Mosley||hired as assistant coach
2014-07-15|Spurs|Etorre Messina (P) / Ettore Messina (SN)||hired as assistant coach
